SlateID,Site,ContestType,LineupNum,AvgProfit,AvgPayout,ROI,WinRate,Top10Rate,ITMRate,AvgRank,MedianRank,BestRank,WorstRank
25439,draftkings,classic,2629,-3.59,16.41,-17.96,0,0.02,15,2543.4,2536,6,4998
25439,draftkings,classic,4969,-3.59,16.41,-17.95,0,0.04,14.52,2584.8,2632,7,4998
25439,draftkings,classic,1700,-3.61,16.39,-18.05,0,0.01,16.25,2455.4,2414,6,4985
25439,draftkings,classic,4600,-3.62,16.38,-18.12,0,0,14.73,2614.8,2666,11,4999
25439,draftkings,classic,1732,-3.63,16.37,-18.13,0,0.03,12.85,2789,2890,2,4997
25439,draftkings,classic,2538,-3.65,16.35,-18.27,0,0.06,13.22,2684.8,2761,3,4993
25439,draftkings,classic,1935,-3.65,16.35,-18.25,0,0,16.08,2666.2,2676,21,5000
25439,draftkings,classic,2265,-3.66,16.34,-18.32,0,0.02,13.86,2586.1,2599,2,4997
25439,draftkings,classic,3214,-3.66,16.34,-18.3,0,0.03,14.69,2497.5,2489,3,4997
25439,draftkings,classic,3327,-3.67,16.33,-18.37,0,0.01,16.01,2382.2,2367,10,4994
25439,draftkings,classic,358,-3.68,16.32,-18.42,0,0.01,15.43,2487.8,2493,10,4994
25439,draftkings,classic,945,-3.68,16.32,-18.39,0,0.03,14,2599.1,2629,7,5001
25439,draftkings,classic,1200,-3.68,16.32,-18.4,0,0.03,14.33,2621.2,2679,3,4997
25439,draftkings,classic,2406,-3.69,16.31,-18.43,0,0.06,12.41,2858.6,3005,2,5001
25439,draftkings,classic,2739,-3.69,16.31,-18.44,0,0,16.39,2361.7,2338,11,4978
25439,draftkings,classic,783,-3.7,16.3,-18.5,0,0.02,15.73,2399.3,2359,6,4995
25439,draftkings,classic,4082,-3.71,16.29,-18.55,0,0.03,14.01,2534.4,2521,3,5000
25439,draftkings,classic,4605,-3.71,16.29,-18.55,0,0.01,15.99,2454.2,2417,9,4987
25439,draftkings,classic,3029,-3.76,16.24,-18.81,0,0.01,15.19,2531.6,2543,6,4995
